datetime,Submission PIN,Question 1,Question 2,Question 3,Question 4,Question 5,score,place
2023-02-22 00:29:14.588000+00:00,57679223.0,6.0,172.0,668.0,57431.0,38.0,0.8,1
2023-02-22 00:40:09.691000+00:00,88179669.0,27.0,175.0,668.0,55489.0,38.0,0.6000000000000001,2
2023-02-22 00:39:23.596000+00:00,58839835.0,6.0,172.0,668.0,56558.0,52.0,0.6000000000000001,3
2023-02-22 00:38:37.959000+00:00,82785527.0,6.0,172.0,668.0,57431.0,800.0,0.6000000000000001,4
2023-02-22 00:20:56.100000+00:00,62623434.0,6.0,172.0,668.0,,29.0,0.6000000000000001,5
2023-02-22 00:39:41.343000+00:00,89813526.0,6.0,100.0,668.0,57431.0,35.0,0.4,6
2023-02-22 00:39:08.242000+00:00,19379497.0,11.0,173.0,668.0,,38.0,0.4,7
2023-02-22 00:36:06.274000+00:00,22921517.0,11.0,172.0,668.0,57431.0,18.0,0.4,8
2023-02-22 00:20:46.869000+00:00,37343475.0,6.0,171.0,668.0,57431.0,41.0,0.4,9
2023-02-22 00:40:03.779000+00:00,17158463.0,6.0,100.0,,61218.0,,0.2,10
2023-02-22 00:39:41.378000+00:00,88552381.0,13.0,171.0,668.0,594389.0,37.0,0.2,11
2023-02-22 00:35:44.129000+00:00,35318314.0,11.0,172.0,699.0,58732.0,10.0,0.2,12
